Frequency_Hz,SPL_dB,PSD_Pa2_Hz
11053.084501127745,-27.949459081115343,1.3114116340208137e-14
11101.991954672558,-28.387001173680527,1.1857273102904403e-14
11150.89940821737,-28.339796538345716,1.1986855953116555e-14
11199.806861762185,-29.305193796512732,9.597664414140182e-15
11248.714315306997,-29.364851784223713,9.466725008616332e-15
11297.62176885181,-28.914269146975144,1.0501661741440853e-14
11346.529222396623,-28.768445509697123,1.0860264167995102e-14
11395.436675941437,-29.208208207831227,9.814408252105395e-15
11444.34412948625,-29.09462491041083,1.0074475596459167e-14
11493.251583031062,-29.551411558420945,9.068673879134762e-15
11542.159036575875,-28.94844413311592,1.0419347603819605e-14
11591.066490120687,-29.01212656479029,1.0267679022944508e-14
11639.973943665502,-27.788701877965607,1.3608640844602334e-14
11688.881397210314,-27.995866234436775,1.2974729633094772e-14
11737.788850755127,-28.22679283193727,1.2302847962093782e-14
11786.69630429994,-29.339697452558624,9.521715367882215e-15
11835.603757844754,-28.76204288467552,1.0876286816890228e-14
11884.511211389567,-30.025855222956793,8.130166092376208e-15
11933.41866493438,-29.77482998815423,8.61394196464417e-15
11982.326118479192,-30.541563958574027,7.219856145221643e-15
12031.233572024006,-30.996120550242313,6.502388071423353e-15
12080.141025568819,-29.183173979143323,9.871145247867676e-15
12129.048479113631,-28.12175710885315,1.2604024229144882e-14
12177.955932658444,-28.61862274013536,1.1241458621585614e-14
12226.863386203258,-29.622786388162424,8.920851324127332e-15
12275.770839748071,-31.990865066404794,5.1712845275851704e-15
12324.678293292884,-31.310913016785253,6.047747332356478e-15
12373.585746837696,-30.139132833012358,7.920847591977078e-15
12422.49320038251,-29.521691827535015,9.130945644748237e-15
12471.400653927323,-29.98502730857232,8.206957971847281e-15
12520.308107472136,-32.76774458595728,4.324246889080862e-15
