(title "Acoustic Pressure at receiver-15 (0.17101 0.984808 0.0301537)")
(labels "Time" "Acoustic Pressure")

((xy/key/label "Surface")
1.6118628 -0.0067921039
1.6119027 -0.0068083345
1.6119426 -0.0068135397
1.6119826 -0.0067899558
1.6120225 -0.0067251595
1.6120625 -0.0066195363
1.6121024 -0.006515956
1.6121423 -0.0064797793
1.6121823 -0.0064890827
1.6122222 -0.0064814528
1.6122621 -0.0064030513
1.6123021 -0.0063095372
1.612342 -0.0062963585
1.6123819 -0.0062841028
1.6124219 -0.00629602
1.6124618 -0.0063247629
1.6125017 -0.0063506402
1.6125417 -0.0063565127
1.6125816 -0.0063754097
1.6126215 -0.0064221867
1.6126615 -0.0064708819
1.6127014 -0.0065039941
1.6127414 -0.0064829895
1.6127813 -0.0064497483
1.6128212 -0.0064487373
1.6128612 -0.0064409506
1.6129011 -0.0064416225
1.612941 -0.0064870045
1.612981 -0.0065047685
1.6130209 -0.0065790634
1.6130608 -0.0066150543
1.6131008 -0.0066376934
1.6131407 -0.0066827349
1.6131806 -0.0067369286
1.6132206 -0.0068197828
1.6132605 -0.0068355436
1.6133004 -0.0067411773
1.6133404 -0.0066179172
1.6133803 -0.006573712
1.6134202 -0.0066288728
1.6134602 -0.0066869184
1.6135001 -0.0067584594
1.6135401 -0.0068109655
1.61358 -0.0067964145
1.6136199 -0.006712425
1.6136599 -0.0066950275
1.6136998 -0.0067312396
1.6137397 -0.0067258729
1.6137797 -0.0066272249
1.6138196 -0.0065487986
1.6138595 -0.0066161002
1.6138995 -0.0066358806
1.6139394 -0.0065551018
1.6139793 -0.0065004206
1.6140193 -0.0064435028
1.6140592 -0.0064503127
1.6140991 -0.0064657209
1.6141391 -0.0064122132
1.614179 -0.0063474807
1.614219 -0.0062455251
1.6142589 -0.0060688485
1.6142988 -0.0059696543
1.6143388 -0.0060110395
1.6143787 -0.0060297716
1.6144186 -0.0060535781
1.6144586 -0.0060497709
1.6144985 -0.0060700537
1.6145384 -0.0061202669
1.6145784 -0.0061421618
1.6146183 -0.0061135292
1.6146582 -0.0061061317
1.6146982 -0.0061150952
1.6147381 -0.0061794319
1.614778 -0.0062847221
1.614818 -0.0061972383
1.6148579 -0.0060198186
1.6148978 -0.0058731623
1.6149378 -0.005877668
1.6149777 -0.0059696534
1.6150177 -0.0060484996
1.6150576 -0.0061916118
1.6150975 -0.0063056722
1.6151375 -0.0063242801
1.6151774 -0.0063724448
1.6152173 -0.006331943
1.6152573 -0.0062770392
1.6152972 -0.0063092383
1.6153371 -0.0063472204
1.6153771 -0.006400099
1.615417 -0.0064319749
1.6154569 -0.006454939
1.6154969 -0.0064347531
1.6155368 -0.0063743121
1.6155767 -0.0063149715
1.6156167 -0.0062379735
1.6156566 -0.0061775031
1.6156965 -0.0061700405
1.6157365 -0.0062013711
1.6157764 -0.0061574248
1.6158164 -0.0060778945
1.6158563 -0.0060787848
1.6158962 -0.0061085052
1.6159362 -0.0060413033
1.6159761 -0.0060353656
1.616016 -0.0060349931
1.616056 -0.0060310992
1.6160959 -0.0059899869
1.6161358 -0.0059202318
1.6161758 -0.005899624
1.6162157 -0.0058940588
1.6162556 -0.0057743918
1.6162956 -0.0057117115
1.6163355 -0.0057121548
1.6163754 -0.0057090605
1.6164154 -0.0057769464
1.6164553 -0.0058205938
1.6164953 -0.0058967993
1.6165352 -0.0059127309
1.6165751 -0.0059307599
1.6166151 -0.0059342505
1.616655 -0.0059559532
1.6166949 -0.0060953419
1.6167349 -0.0060575698
1.6167748 -0.0059129251
1.6168147 -0.0058047762
1.6168547 -0.0057045226
1.6168946 -0.0056793946
1.6169345 -0.0055794334
1.6169745 -0.0055159787
1.6170144 -0.0055900309
1.6170543 -0.0056747636
1.6170943 -0.0057818163
1.6171342 -0.0058207302
1.6171741 -0.0058239861
1.6172141 -0.0057518785
1.617254 -0.0057486556
1.617294 -0.0057179332
1.6173339 -0.0056601549
1.6173738 -0.0055811233
1.6174138 -0.005532715
1.6174537 -0.0054386212
1.6174936 -0.0053212922
1.6175336 -0.0053236522
1.6175735 -0.0052709561
1.6176134 -0.0052928473
1.6176534 -0.0053465865
1.6176933 -0.005338388
1.6177332 -0.0052230293
1.6177732 -0.0051402356
1.6178131 -0.0050370195
1.617853 -0.0050605983
1.617893 -0.0051334496
1.6179329 -0.0051483335
1.6179729 -0.0051259366
1.6180128 -0.0050600721
1.6180527 -0.0050455723
1.6180927 -0.0048932834
1.6181326 -0.004702074
1.6181725 -0.0046374938
1.6182125 -0.0047710775
1.6182524 -0.0047960724
1.6182923 -0.0048073782
1.6183323 -0.0048371903
1.6183722 -0.0047625564
1.6184121 -0.0046884478
1.6184521 -0.0047864858
1.618492 -0.0048457282
1.6185319 -0.0048581031
1.6185719 -0.0048824032
1.6186118 -0.0048528849
1.6186517 -0.0048837354
1.6186917 -0.0049159909
1.6187316 -0.004966015
1.6187716 -0.0049439198
1.6188115 -0.0048739542
1.6188514 -0.0048845592
1.6188914 -0.0049122609
1.6189313 -0.0048849098
1.6189712 -0.0049475618
1.6190112 -0.0050071096
1.6190511 -0.0050147679
1.619091 -0.0050572422
1.619131 -0.0050723567
1.6191709 -0.0050062411
1.6192108 -0.0050435048
1.6192508 -0.0050391648
1.6192907 -0.0049683335
1.6193306 -0.0049277758
1.6193706 -0.0049525769
1.6194105 -0.0050274124
1.6194504 -0.0050450475
1.6194904 -0.0049666385
1.6195303 -0.0049651251
1.6195703 -0.0050990898
1.6196102 -0.005161189
1.6196501 -0.0050954074
1.6196901 -0.0050825262
1.61973 -0.0051147244
1.6197699 -0.0050910073
1.6198099 -0.0050879312
1.6198498 -0.005082624
1.6198897 -0.0050484808
1.6199297 -0.0050754822
1.6199696 -0.0051439609
1.6200095 -0.0052493187
1.6200495 -0.0054031475
1.6200894 -0.0054801456
1.6201293 -0.0055130268
1.6201693 -0.0055718222
1.6202092 -0.0055947388
1.6202492 -0.0055644833
1.6202891 -0.0055613318
1.620329 -0.0055117416
1.620369 -0.005477
1.6204089 -0.005537746
1.6204488 -0.0055480143
1.6204888 -0.0055275359
1.6205287 -0.00550162
1.6205686 -0.0055012838
1.6206086 -0.0055379779
1.6206485 -0.0055913599
1.6206884 -0.0056248028
1.6207284 -0.0056891032
1.6207683 -0.0057010981
1.6208082 -0.0057062795
1.6208482 -0.0056859897
1.6208881 -0.0056782546
1.620928 -0.0056581632
1.620968 -0.0055761915
1.6210079 -0.0054969988
1.6210479 -0.0055272179
1.6210878 -0.0056372914
1.6211277 -0.0056777103
1.6211677 -0.0056435219
1.6212076 -0.0055792965
1.6212475 -0.0055147195
1.6212875 -0.0054450817
1.6213274 -0.0054255449
1.6213673 -0.0054013757
1.6214073 -0.0054328893
