Frequency_Hz,SPL_Experiment_dB,SPL_Simulation_Baseline_dB,SPL_Simulation_Final_dB,Diff_Final_minus_Exp_dB,Applied_Correction_dB
3.968750000000000000e+02,1.311317443999999988e+01,7.964884918509882894e+00,1.237943057316146245e+01,-7.337438668385374285e-01,4.414545654651579554e+00
3.975000000000000000e+02,1.186410045999999952e+01,7.947671573210037366e+00,1.237235480078005700e+01,5.082543407800574897e-01,4.424683227570019639e+00
3.981250000000000000e+02,1.156871128000000049e+01,7.930458227910191837e+00,1.236581039620974920e+01,7.970991162097487148e-01,4.435352168299558251e+00
3.987500000000000000e+02,1.226920508999999981e+01,7.913244882610347197e+00,1.235980864791886447e+01,9.060355791886465227e-02,4.446563765308516381e+00
3.993750000000000000e+02,1.241057014000000081e+01,7.896031537310501669e+00,1.235442237196112458e+01,-5.614776803887622236e-02,4.458390834650622025e+00
4.000000000000000000e+02,1.241057014000000081e+01,7.878818192010656141e+00,1.234969705894075176e+01,-6.087308105924904567e-02,4.470878866930095619e+00
4.006250000000000000e+02,1.273127842000000065e+01,7.861604846710811501e+00,1.234565012132101813e+01,-3.856282986789825173e-01,4.484045274610206633e+00
4.012500000000000000e+02,1.186198996999999977e+01,7.844391501410965972e+00,1.234230690164280020e+01,4.803169316428004265e-01,4.497915400231835115e+00
4.018750000000000000e+02,1.241057014000000081e+01,7.827178156111120444e+00,1.233970833732595551e+01,-7.086180267404529332e-02,4.512530181214835956e+00
4.025000000000000000e+02,1.170796585000000078e+01,7.809964810811275804e+00,1.233785252777819608e+01,6.298866777781952919e-01,4.527887716966919385e+00
4.031250000000000000e+02,1.257725429999999989e+01,7.792751465511430276e+00,1.233675411688704671e+01,-2.405001831129531809e-01,4.544002651375615542e+00
4.037500000000000000e+02,1.199069594999999921e+01,7.775538120211585635e+00,1.233643416167811147e+01,3.457382116781122505e-01,4.560896041466525830e+00
4.043750000000000000e+02,1.267009067999999949e+01,7.758324774911740107e+00,1.233690095596211833e+01,-3.331897240378811631e-01,4.578576181050377336e+00
4.050000000000000000e+02,1.233672332999999988e+01,7.741111429611894579e+00,1.233813988771648162e+01,1.416557716481747775e-03,4.597028458104587045e+00
4.056250000000000000e+02,1.063612460999999954e+01,7.723898084312049939e+00,1.234015747113938843e+01,1.704032861139388899e+00,4.616259386827338496e+00
